track_name,artists_name,artist_count,released_year,released_month,released_day,in_spotify_charts,streams,danceability_%
"Too Many Nights (feat. Don Toliver & with Future)","Future, Metro Boomin, Don Toliver",3,2022,12,2,58,286400165,68
"Chemical","Post Malone",1,2023,4,14,39,172825906,50
"Mockingbird","Eminem",1,2004,1,1,61,1241559043,62
"New Jeans","NewJeans",1,2023,7,7,35,29562220,81
"Primera Cita","Carin Leon",1,2022,4,20,27,77309611,54
"Cold Heart - PNAU Remix","Dua Lipa, Elton John, Pnau",3,2017,11,10,52,1605224506,80
"Dandelions","Ruth B.",1,2017,4,28,21,1116995633,61
"Bones","Imagine Dragons",1,2021,3,11,44,838079900,77
"Set Fire to the Rain","Adele",1,2011,1,1,43,1163620694,61
"Money Trees","Kendrick Lamar, Jay Rock",2,2012,1,1,32,1093605526,74
"Tak Segampang Itu","Anggi Marito",1,2022,12,2,6,179659294,51
"LAGUNAS","Jasiel NuÔøΩÔøΩez, Peso P",2,2023,6,22,18,39058561,77
"Mine (Taylors Version)","Taylor Swift",1,2023,7,7,15,36912123,65
"Everybody Wants To Rule The World","Tears For Fears",1,1985,2,17,25,1205951614,64
"No Role Modelz","J. Cole",1,2014,12,9,36,1791000570,70
"Tattoo","Loreen",1,2023,2,25,59,201660859,55
"Rara Vez","Taiu, Milo j",2,2023,2,8,38,248088961,84
"VAGABUNDO","Sebastian Yatra, Manuel Turizo, BeÔøΩÔ",3,2023,5,12,34,90839753,82
"august","Taylor Swift",1,2020,7,24,22,607123776,51
"LUNA","Junior H, Peso Pluma",2,2023,6,22,11,55842345,75
"Miracle (with Ellie Goulding)","Calvin Harris, Ellie Goulding",2,2023,3,10,48,211050784,64
"Nonsense","Sabrina Carpenter",1,2022,7,15,27,342897938,74
"Que Vuelvas","Carin Leon, Grupo Frontera",2,2022,12,9,26,2762,49
"Por las Noches","Peso Pluma",1,2021,6,11,24,330346424,81
"Feliz CumpleaÔøΩÔøΩos Fe","Feid",1,2022,8,19,38,601863821,87
"Can't Hold Us (feat. Ray Dalton)","Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,52,1953533826,63
"Watermelon Sugar","Harry Styles",1,2019,11,17,34,2322580122,55
"lovely - Bonus Track","Billie Eilish, Khalid",2,2017,8,11,30,2355719893,35
